title,author,language,publish_date,isbn,asin,description,internal_details,series,settings,characters,awards,formats
Ethan Frome,Edith Wharton,English,04/12/23,,, Edith Wharton's stark novella portrays a man trapped in a loveless marriage in the bleak New England countryside. This haunting tale of thwarted passion and moral choice creates unforgettable tension between desire and duty in a frozen landscape., Edith Wharton's stark novella portrays a man trapped in a loveless marriage in the bleak New England countryside. This haunting tale of thwarted passion and moral choice creates unforgettable tension between desire and duty in a frozen landscape.,,"New England (fictional Starkfield), early 20th century","Ethan Frome,Mattie Silver",,digital
Eugénie Grandet,Honoré de Balzac,French,04/12/23,,, Balzac's masterful novel portrays a miser's destruction of his daughter's chances for happiness through pathological greed. This devastating portrayal of bourgeois avarice examines how money warps human relationships with clinical precision., Balzac's masterful novel portrays a miser's destruction of his daughter's chances for happiness through pathological greed. This devastating portrayal of bourgeois avarice examines how money warps human relationships with clinical precision.,,"Provincial France, early 19th century","Eugénie Grandet,Père Grandet",,digital
Every Man in His Humour,Ben Jonson,English,04/12/23,,," Ben Jonson's revolutionary comedy moves away from fantastical plots toward realistic depiction of contemporary London types. This influential play establishes the ""comedy of humours"" style while satirizing human foibles with sharp wit."," Ben Jonson's revolutionary comedy moves away from fantastical plots toward realistic depiction of contemporary London types. This influential play establishes the ""comedy of humours"" style while satirizing human foibles with sharp wit.",,"London, Renaissance era","Kitely,Captain Bobadill",,digital
Every Man out of His Humour,Ben Jonson,English,04/12/23,,, Ben Jonson's experimental comedy satirizes the follies and pretensions of Elizabethan society through a gallery of eccentric characters. This ambitious work breaks theatrical conventions with its complex structure and direct addresses to the audience., Ben Jonson's experimental comedy satirizes the follies and pretensions of Elizabethan society through a gallery of eccentric characters. This ambitious work breaks theatrical conventions with its complex structure and direct addresses to the audience.,,"London, Renaissance era","Macilente,Carlo Buffone",,digital
Excursions,Henry David Thoreau,English,04/12/23,,," Henry David Thoreau's collection of essays celebrates the art of walking, wild fruits, and the glories of autumnal colors. This naturalist's vision reveals the profound connections between landscape, freedom, and spiritual insight."," Henry David Thoreau's collection of essays celebrates the art of walking, wild fruits, and the glories of autumnal colors. This naturalist's vision reveals the profound connections between landscape, freedom, and spiritual insight.",,"New England wilderness, mid-19th century",Henry David Thoreau,,digital
Far from the Madding Crowd,Thomas Hardy,English,04/12/23,,, Thomas Hardy's pastoral masterpiece follows independent Bathsheba Everdene as she manages a farm and chooses between three very different suitors. This vibrant portrayal of rural life combines romantic drama with keen social observation and lyrical descriptions of nature., Thomas Hardy's pastoral masterpiece follows independent Bathsheba Everdene as she manages a farm and chooses between three very different suitors. This vibrant portrayal of rural life combines romantic drama with keen social observation and lyrical descriptions of nature.,,"Rural England (Wessex), 1870s","Bathsheba Everdene,Gabriel Oak",,digital
Fathers and Sons,Ivan Turgenev,Russian,04/12/23,,, Ivan Turgenev's groundbreaking novel dramatizes the conflict between revolutionary nihilism and traditional values in 1860s Russia. This nuanced portrayal of generational and ideological conflict captures a pivotal moment in Russian society with psychological depth and artistic perfection., Ivan Turgenev's groundbreaking novel dramatizes the conflict between revolutionary nihilism and traditional values in 1860s Russia. This nuanced portrayal of generational and ideological conflict captures a pivotal moment in Russian society with psychological depth and artistic perfection.,,"Rural Russia, 1859","Yevgeny Bazarov,Arkady Kirsanov",,digital
Faust,Johann Wolfgang von Goethe,German,04/12/23,,, Johann Wolfgang von Goethe's epic dramatic poem follows the journey of a brilliant scholar who makes a pact with the devil. This monumental masterpiece explores humanity's eternal struggle between knowledge and fulfillment through one man's extraordinary spiritual odyssey., Johann Wolfgang von Goethe's epic dramatic poem follows the journey of a brilliant scholar who makes a pact with the devil. This monumental masterpiece explores humanity's eternal struggle between knowledge and fulfillment through one man's extraordinary spiritual odyssey.,,"Germany, 16th century","Faust,Mephistopheles",,digital
Faust Part One,Johann Wolfgang von Goethe,German,04/12/23,,, The first part of Goethe's magnum opus introduces the restless scholar whose bargain with Mephistopheles leads to tragedy. This philosophical drama combines supernatural elements with profound insights about human striving and the redemptive power of love., The first part of Goethe's magnum opus introduces the restless scholar whose bargain with Mephistopheles leads to tragedy. This philosophical drama combines supernatural elements with profound insights about human striving and the redemptive power of love.,,"Germany, 16th century","Faust,Mephistopheles",,digital
Faust Part Two,Johann Wolfgang von Goethe,German,04/12/23,,," Goethe's audacious sequel takes his protagonist through a dazzling series of allegorical adventures across time and space. This visionary work explores humanity's relationship to nature, politics, economics, and art through spectacular set-pieces and profound symbolism."," Goethe's audacious sequel takes his protagonist through a dazzling series of allegorical adventures across time and space. This visionary work explores humanity's relationship to nature, politics, economics, and art through spectacular set-pieces and profound symbolism.",,Various mythological and allegorical settings,"Faust,Mephistopheles",,digital
Filocolo,Giovanni Boccaccio,Italian,04/12/23,,," Boccaccio's early prose romance recounts the adventures of a converted pagan prince seeking his Christian beloved. This ambitious narrative combines classical mythology, medieval chivalry, and courtly love with questions about fate and religious devotion."," Boccaccio's early prose romance recounts the adventures of a converted pagan prince seeking his Christian beloved. This ambitious narrative combines classical mythology, medieval chivalry, and courtly love with questions about fate and religious devotion.",,"Naples and Mediterranean, 14th century setting of ancient tale","Florio,Biancifiore",,digital
Fiorenza,Thomas Mann,German,04/12/23,,, Thomas Mann's rarely performed play dramatizes a confrontation between the ascetic religious reformer Savonarola and the artistic splendor of Renaissance Florence. This intellectual drama examines the eternal conflict between spiritual purity and sensual beauty., Thomas Mann's rarely performed play dramatizes a confrontation between the ascetic religious reformer Savonarola and the artistic splendor of Renaissance Florence. This intellectual drama examines the eternal conflict between spiritual purity and sensual beauty.,,"Renaissance Florence, late 15th century","Lorenzo de Medici,Savonarola",,digital
Flappers and Philosophers,F. Scott Fitzgerald,English,04/12/23,,," F. Scott Fitzgerald's first collection of short stories captures the excitement, disillusionment, and changing morals of 1920s America. This brilliant showcase of Fitzgerald's early talent presents unforgettable portraits of modern youth navigating a rapidly changing society."," F. Scott Fitzgerald's first collection of short stories captures the excitement, disillusionment, and changing morals of 1920s America. This brilliant showcase of Fitzgerald's early talent presents unforgettable portraits of modern youth navigating a rapidly changing society.",,"America, 1920s","Bernice,Marjorie",,digital
Fleetwood,William Godwin,English,04/12/23,,, William Godwin's philosophical novel follows a misanthrope whose marriage tests his radical theories about human nature. This examination of domestic life and education explores how philosophical ideals confront messy emotional realities., William Godwin's philosophical novel follows a misanthrope whose marriage tests his radical theories about human nature. This examination of domestic life and education explores how philosophical ideals confront messy emotional realities.,,"England and continental Europe, late 18th century","Fleetwood,Mary",,digital
Fort comme la mort,Guy de Maupassant,French,04/12/23,,, Guy de Maupassant's poignant novel portrays a middle-aged painter's infatuation with his former lover's daughter. This melancholy meditation on aging and impossible desire presents a devastating portrait of a man confronting his mortality and diminishing powers., Guy de Maupassant's poignant novel portrays a middle-aged painter's infatuation with his former lover's daughter. This melancholy meditation on aging and impossible desire presents a devastating portrait of a man confronting his mortality and diminishing powers.,,"Paris, late 19th century","Olivier Bertin,Countess Anne de Guilleroy",,digital
Fortunio,Théophile Gautier,French,04/12/23,,, Théophile Gautier's exotic novella follows a mysterious millionaire who creates a secret Oriental paradise in Paris. This lush fantasy combines sensual descriptions with ironic commentary on wealth and desire in nineteenth-century France., Théophile Gautier's exotic novella follows a mysterious millionaire who creates a secret Oriental paradise in Paris. This lush fantasy combines sensual descriptions with ironic commentary on wealth and desire in nineteenth-century France.,,"Paris, 19th century","Fortunio,Musidora",,digital
Frankenstein,Mary Shelley,English,04/12/23,,," Mary Shelley's groundbreaking novel traces the consequences of a brilliant scientist's attempt to create life. This profound Gothic masterpiece examines human hubris, parental responsibility, and the dangers of unchecked scientific ambition."," Mary Shelley's groundbreaking novel traces the consequences of a brilliant scientist's attempt to create life. This profound Gothic masterpiece examines human hubris, parental responsibility, and the dangers of unchecked scientific ambition.",,"Switzerland, Germany, Scotland, England, and the Arctic, early 19th century","Victor Frankenstein,The Creature",,digital
Fruits of the Earth,André Gide,French,04/12/23,,, André Gide's lyrical celebration of sensual experience and freedom encourages readers to embrace life's pleasures without constraint. This influential work champions authenticity and intensity of feeling over conventional morality and social expectations., André Gide's lyrical celebration of sensual experience and freedom encourages readers to embrace life's pleasures without constraint. This influential work champions authenticity and intensity of feeling over conventional morality and social expectations.,,"Rural France, late 19th to early 20th century","Narrator,Nathanaël",,digital
Gargantua and Pantagruel,François Rabelais,French,04/12/23,,," François Rabelais' outrageous comic masterpiece follows the adventures of two giant kings and their companions. This exuberant satire demolishes medieval thinking through grotesque humor, linguistic inventiveness, and revolutionary humanism."," François Rabelais' outrageous comic masterpiece follows the adventures of two giant kings and their companions. This exuberant satire demolishes medieval thinking through grotesque humor, linguistic inventiveness, and revolutionary humanism.",,"France and fantastic locations, Renaissance era","Gargantua,Pantagruel",,digital
Genealogy of the Pagan Gods,Giovanni Boccaccio,Italian,04/12/23,,, Boccaccio's monumental mythological encyclopedia presents classical myths with allegorical interpretations and literary analysis. This ambitious work helped restore ancient mythology as a legitimate subject for Christian humanism and Renaissance art., Boccaccio's monumental mythological encyclopedia presents classical myths with allegorical interpretations and literary analysis. This ambitious work helped restore ancient mythology as a legitimate subject for Christian humanism and Renaissance art.,,Mythological realms,Demogorgon,,digital
Georges,Alexandre Dumas,French,04/12/23,,, Alexandre Dumas' powerful novel follows a mixed-race man's return to his native Mauritius to seek revenge against racial injustice. This bold exploration of colonialism and racial prejudice draws on Dumas' own experiences as the son of a Black general in Napoleon's army., Alexandre Dumas' powerful novel follows a mixed-race man's return to his native Mauritius to seek revenge against racial injustice. This bold exploration of colonialism and racial prejudice draws on Dumas' own experiences as the son of a Black general in Napoleon's army.,,"Mauritius, early 19th century","Georges Munier,Sara de Malmédie",,digital
Germinal,Émile Zola,French,04/12/23,,, Émile Zola's masterful novel portrays the brutal lives of coal miners and their uprising against exploitation in northern France. This powerful work of social protest combines unforgettable characters with documentarian precision to expose industrial capitalism's human cost., Émile Zola's masterful novel portrays the brutal lives of coal miners and their uprising against exploitation in northern France. This powerful work of social protest combines unforgettable characters with documentarian precision to expose industrial capitalism's human cost.,,"Coal mining region of northern France, 1860s","Étienne Lantier,Catherine Maheu",,digital
Great Expectations,Charles Dickens,English,04/12/23,,, Charles Dickens' beloved bildungsroman follows orphan Pip's journey from blacksmith's apprentice to London gentleman. This psychologically complex masterpiece examines class mobility and moral growth through unforgettable characters and rich symbolism., Charles Dickens' beloved bildungsroman follows orphan Pip's journey from blacksmith's apprentice to London gentleman. This psychologically complex masterpiece examines class mobility and moral growth through unforgettable characters and rich symbolism.,,"Kent and London, England, mid-19th century","Pip,Miss Havisham",,digital
Gulliver's Travels,Jonathan Swift,English,04/12/23,,," Jonathan Swift's satirical masterpiece follows a ship's surgeon through increasingly strange and disturbing fantasy lands. This brilliant work uses fantastical adventures to expose human folly, cruelty, and pride with unparalleled wit and imagination."," Jonathan Swift's satirical masterpiece follows a ship's surgeon through increasingly strange and disturbing fantasy lands. This brilliant work uses fantastical adventures to expose human folly, cruelty, and pride with unparalleled wit and imagination.",,"Various fictional lands, early 18th century",Lemuel Gulliver,,digital
Hamlet,William Shakespeare,English,04/12/23,,," Shakespeare's towering tragedy portrays a Danish prince driven to the edge of madness by his father's murder and mother's hasty remarriage. This profound exploration of mortality, purpose, and action versus contemplation remains literature's most compelling study of the human condition."," Shakespeare's towering tragedy portrays a Danish prince driven to the edge of madness by his father's murder and mother's hasty remarriage. This profound exploration of mortality, purpose, and action versus contemplation remains literature's most compelling study of the human condition.",,"Denmark, medieval period","Hamlet,Ophelia",,digital
Hard Times,Charles Dickens,English,04/12/23,,, Charles Dickens' industrial novel exposes how utilitarian education and unchecked capitalism crush the human spirit. This powerful critique of Victorian society's dehumanizing materialism contrasts fact-obsessed philosophy with the necessary wonder of imagination and feeling., Charles Dickens' industrial novel exposes how utilitarian education and unchecked capitalism crush the human spirit. This powerful critique of Victorian society's dehumanizing materialism contrasts fact-obsessed philosophy with the necessary wonder of imagination and feeling.,,"Industrial England (fictional Coketown), mid-19th century","Thomas Gradgrind,Louisa Gradgrind",,digital
Harrington,Maria Edgeworth,English,04/12/23,,, Maria Edgeworth's groundbreaking novel confronts anti-Semitism through the story of a young man overcoming his prejudice against Jews. This progressive work challenges stereotypes while examining how childhood fears can warp adult perceptions., Maria Edgeworth's groundbreaking novel confronts anti-Semitism through the story of a young man overcoming his prejudice against Jews. This progressive work challenges stereotypes while examining how childhood fears can warp adult perceptions.,,"England, early 19th century","Harrington,Berenice",,digital
Heart of Darkness,Joseph Conrad,English,04/12/23,,, Joseph Conrad's haunting novella follows a steamboat captain's journey into the Congo and his encounter with the enigmatic ivory trader Kurtz. This masterpiece explores colonialism's brutal reality while examining how civilization's veneer cracks when confronted with primal human darkness., Joseph Conrad's haunting novella follows a steamboat captain's journey into the Congo and his encounter with the enigmatic ivory trader Kurtz. This masterpiece explores colonialism's brutal reality while examining how civilization's veneer cracks when confronted with primal human darkness.,,"Congo River, late 19th century","Charles Marlow,Kurtz",,digital
Heinrich von Ofterdingen,Novalis,German,04/12/23,,," Novalis's unfinished novel follows a medieval poet's quest for a mysterious blue flower that appeared in his dream. This quintessential German Romantic work combines fairy tales, philosophy, and poetry in its spiritual search for the infinite."," Novalis's unfinished novel follows a medieval poet's quest for a mysterious blue flower that appeared in his dream. This quintessential German Romantic work combines fairy tales, philosophy, and poetry in its spiritual search for the infinite.",,Medieval Germany and mythical realms,"Heinrich,Mathilde",,digital
Helen,Maria Edgeworth,English,04/12/23,,," Maria Edgeworth's final novel examines the consequences of a teenaged girl's single lie within a close-knit community. This nuanced moral tale explores reputation, forgiveness, and integrity through a cast of psychologically complex characters."," Maria Edgeworth's final novel examines the consequences of a teenaged girl's single lie within a close-knit community. This nuanced moral tale explores reputation, forgiveness, and integrity through a cast of psychologically complex characters.",,"England, early 19th century","Helen Stanley,Lady Davenant",,digital
Henry V,William Shakespeare,English,04/12/23,,, Shakespeare's stirring historical drama follows the transformation of a wild prince into England's warrior king during the Hundred Years' War. This patriotic play balances rousing battle speeches with thoughtful examination of leadership's moral complexities., Shakespeare's stirring historical drama follows the transformation of a wild prince into England's warrior king during the Hundred Years' War. This patriotic play balances rousing battle speeches with thoughtful examination of leadership's moral complexities.,,"England and France, early 15th century",King Henry V,,digital
Hernani,Victor Hugo,French,04/12/23,,, Victor Hugo's revolutionary romantic drama challenged classical theater traditions with its passionate emotions and controversial style. This landmark play about a noble outlaw's doomed love sparked literary riots that established romanticism in French theater., Victor Hugo's revolutionary romantic drama challenged classical theater traditions with its passionate emotions and controversial style. This landmark play about a noble outlaw's doomed love sparked literary riots that established romanticism in French theater.,,"Spain, 1519","Hernani,Doña Sol",,digital
Hippolytus,Euripides,Greek,04/12/23,,," Euripides' tragedy portrays the devastating consequences when a queen falls in love with her stepson. This psychological masterpiece explores destructive passion, false accusations, and divine vengeance with stark emotional power."," Euripides' tragedy portrays the devastating consequences when a queen falls in love with her stepson. This psychological masterpiece explores destructive passion, false accusations, and divine vengeance with stark emotional power.",,"Ancient Greece, mythological era","Hippolytus,Phaedra",,digital
His Last Bow,Arthur Conan Doyle,English,04/12/23,,, Arthur Conan Doyle's Sherlock Holmes collection features the detective facing German spies on the eve of World War I. This patriotic set of adventures showcases Holmes's brilliant deductive powers in service to his country during a pivotal historical moment., Arthur Conan Doyle's Sherlock Holmes collection features the detective facing German spies on the eve of World War I. This patriotic set of adventures showcases Holmes's brilliant deductive powers in service to his country during a pivotal historical moment.,,"England, pre-World War I","Sherlock Holmes,Dr. John Watson",,digital
Howards End,E.M. Forster,English,04/12/23,,," E.M. Forster's masterpiece explores the relationship between three families representing different aspects of Edwardian England. This profound novel about connection and inheritance famously urges readers to ""only connect"" across divisions of class, gender, and worldview."," E.M. Forster's masterpiece explores the relationship between three families representing different aspects of Edwardian England. This profound novel about connection and inheritance famously urges readers to ""only connect"" across divisions of class, gender, and worldview.",,"England, early 20th century","Margaret Schlegel,Henry Wilcox",,digital
Hyperion,Friedrich Hölderlin,German,04/12/23,,, Friedrich Hölderlin's poetic novel presents a German traveler's journey through Greece and his reflections on its fallen glory. This lyrical masterpiece explores the modern world's alienation from ancient harmony through exquisite prose and profound philosophical insight., Friedrich Hölderlin's poetic novel presents a German traveler's journey through Greece and his reflections on its fallen glory. This lyrical masterpiece explores the modern world's alienation from ancient harmony through exquisite prose and profound philosophical insight.,,Ancient Greece and mythological settings,Hyperion,,digital
In Praise of Folly,Erasmus,Latin,04/12/23,,, Erasmus's witty satire allows Folly herself to deliver a speech celebrating her influence in human affairs. This Renaissance masterpiece combines playful humor with serious criticism of religious hypocrisy and intellectual pretension., Erasmus's witty satire allows Folly herself to deliver a speech celebrating her influence in human affairs. This Renaissance masterpiece combines playful humor with serious criticism of religious hypocrisy and intellectual pretension.,,Early 16th century Europe,Folly,,digital
Intrigue and Love,Friedrich Schiller,German,04/12/23,,, Friedrich Schiller's bourgeois tragedy portrays the doomed romance between a nobleman's son and a middle-class musician's daughter. This revolutionary drama exposes the corruption of German courts while championing authentic feeling over social hierarchy., Friedrich Schiller's bourgeois tragedy portrays the doomed romance between a nobleman's son and a middle-class musician's daughter. This revolutionary drama exposes the corruption of German courts while championing authentic feeling over social hierarchy.,,"German court, 18th century","Ferdinand von Walter,Luise Miller",,digital
Iphigenia in Aulis,Euripides,Greek,04/12/23,,, Euripides' tragedy portrays a father's agonizing decision to sacrifice his daughter to secure favorable winds for the Greek fleet. This powerful antiwar play examines how political necessity corrupts personal morality through impossible choices., Euripides' tragedy portrays a father's agonizing decision to sacrifice his daughter to secure favorable winds for the Greek fleet. This powerful antiwar play examines how political necessity corrupts personal morality through impossible choices.,,"Ancient Greece, before the Trojan War","Iphigenia,Agamemnon",,digital
Isabelle,André Gide,French,04/12/23,,, André Gide's atmospheric novella follows a young student who discovers dark family secrets while staying at a remote country manor. This haunting tale combines gothic elements with psychological insight about desire and repression., André Gide's atmospheric novella follows a young student who discovers dark family secrets while staying at a remote country manor. This haunting tale combines gothic elements with psychological insight about desire and repression.,,"Rural France, early 20th century","Gerard,Isabelle de Saint-Auréol",,digital
Italian Chronicles,Stendhal,French,04/12/23,,," Stendhal's collection adapts Renaissance Italian manuscripts detailing passionate crimes among the nobility. These unflinching tales of love, revenge, and violence reveal Stendhal's fascination with Italy's emotional intensity compared to French restraint."," Stendhal's collection adapts Renaissance Italian manuscripts detailing passionate crimes among the nobility. These unflinching tales of love, revenge, and violence reveal Stendhal's fascination with Italy's emotional intensity compared to French restraint.",,Renaissance Italy,Vittoria Accoramboni,,digital
Italian Journey,Johann Wolfgang von Goethe,German,04/12/23,,," Johann Wolfgang von Goethe's vivid travelogue documents his transformative experiences in Italy between 1786 and 1788. This influential cultural memoir captures the author's aesthetic awakening through encounters with classical art, Mediterranean landscapes, and vibrant local customs."," Johann Wolfgang von Goethe's vivid travelogue documents his transformative experiences in Italy between 1786 and 1788. This influential cultural memoir captures the author's aesthetic awakening through encounters with classical art, Mediterranean landscapes, and vibrant local customs.",,"Italy, 1786-1788",Johann Wolfgang von Goethe,,digital
Ivanhoe,Walter Scott,English,04/12/23,,," Sir Walter Scott's beloved historical novel brings medieval England to life through the adventures of a disinherited Saxon knight. This swashbuckling romance established the historical novel genre while exploring tensions between Normans and Saxons, Christians and Jews."," Sir Walter Scott's beloved historical novel brings medieval England to life through the adventures of a disinherited Saxon knight. This swashbuckling romance established the historical novel genre while exploring tensions between Normans and Saxons, Christians and Jews.",,"England, 12th century","Ivanhoe,Rebecca",,digital
Jacques the Fatalist,Denis Diderot,French,04/12/23,,," Denis Diderot's experimental novel follows a servant and his master on a journey constantly interrupted by philosophical discussions and embedded stories. This playful masterpiece challenges narrative conventions while exploring profound questions about freedom, destiny, and storytelling itself."," Denis Diderot's experimental novel follows a servant and his master on a journey constantly interrupted by philosophical discussions and embedded stories. This playful masterpiece challenges narrative conventions while exploring profound questions about freedom, destiny, and storytelling itself.",,"18th century France, various locations during journey","Jacques,His Master",,digital
Jane Eyre,Charlotte Brontë,English,04/12/23,,," Charlotte Brontë's revolutionary novel follows a passionate, independent governess who refuses to surrender either her autonomy or her desires. This beloved classic combines Gothic romance with proto-feminist psychology in its unforgettable portrayal of a woman demanding equality and respect."," Charlotte Brontë's revolutionary novel follows a passionate, independent governess who refuses to surrender either her autonomy or her desires. This beloved classic combines Gothic romance with proto-feminist psychology in its unforgettable portrayal of a woman demanding equality and respect.",,"Northern England, early 19th century","Jane Eyre,Edward Rochester",,digital
Jennie Gerhardt,Theodore Dreiser,English,04/12/23,,," Theodore Dreiser's compassionate novel portrays a working-class woman whose generous nature leads to relationships with wealthy men. This naturalistic masterpiece challenges conventional morality by treating its ""fallen woman"" with dignity and profound understanding."," Theodore Dreiser's compassionate novel portrays a working-class woman whose generous nature leads to relationships with wealthy men. This naturalistic masterpiece challenges conventional morality by treating its ""fallen woman"" with dignity and profound understanding.",,"America, late 19th to early 20th century","Jennie Gerhardt,Lester Kane",,digital
Jettatura,Théophile Gautier,French,04/12/23,,," Théophile Gautier's supernatural novella explores the destructive power of the evil eye through a foreigner who unwittingly brings disaster to Naples. This atmospheric tale blends folklore, romance, and psychological insight in its exploration of superstition's power."," Théophile Gautier's supernatural novella explores the destructive power of the evil eye through a foreigner who unwittingly brings disaster to Naples. This atmospheric tale blends folklore, romance, and psychological insight in its exploration of superstition's power.",,"Naples, mid-19th century","Paolo d'Aspromonte,Alicia Ward",,digital
Joseph Andrews,Henry Fielding,English,04/12/23,,, Henry Fielding's comic novel follows the adventures of a virtuous footman who rejects his employer's sexual advances and sets off on the road. This pioneering work established the English comic novel while satirizing literary conventions and social hypocrisy., Henry Fielding's comic novel follows the adventures of a virtuous footman who rejects his employer's sexual advances and sets off on the road. This pioneering work established the English comic novel while satirizing literary conventions and social hypocrisy.,,"England, 18th century","Joseph Andrews,Parson Adams",,digital
Journey to the Center of the Earth,Jules Verne,French,04/12/23,,, Jules Verne's thrilling adventure novel follows a German professor and his reluctant nephew on an expedition into a volcanic passage to Earth's core. This science fiction classic combines geological wonders with pulse-pounding suspense and prehistoric encounters., Jules Verne's thrilling adventure novel follows a German professor and his reluctant nephew on an expedition into a volcanic passage to Earth's core. This science fiction classic combines geological wonders with pulse-pounding suspense and prehistoric encounters.,,"Iceland and subterranean world, 1860s","Professor Otto Lidenbrock,Axel Lidenbrock",,digital
Journey to the Western Islands of Scotland,Samuel Johnson,English,04/12/23,,," Samuel Johnson's engaging travelogue recounts his tour of Scotland with James Boswell in 1773. This perceptive account combines sharp observations about Scottish society with philosophical reflections on tradition, language, and cultural change."," Samuel Johnson's engaging travelogue recounts his tour of Scotland with James Boswell in 1773. This perceptive account combines sharp observations about Scottish society with philosophical reflections on tradition, language, and cultural change.",,"Scottish Highlands and Islands, 1773","Samuel Johnson,James Boswell",,digital
Jude the Obscure,Thomas Hardy,English,04/12/23,,," Thomas Hardy's final novel follows a working-class stonemason whose dreams of university education are crushed by poverty and social prejudice. This bleak masterpiece's unflinching portrayal of marriage, class, and religion scandalized Victorian readers with its modern sensibility."," Thomas Hardy's final novel follows a working-class stonemason whose dreams of university education are crushed by poverty and social prejudice. This bleak masterpiece's unflinching portrayal of marriage, class, and religion scandalized Victorian readers with its modern sensibility.",,"England (Wessex), late 19th century","Jude Fawley,Sue Bridehead",,digital
Julie or the New Heloise,Jean-Jacques Rousseau,French,04/12/23,,," Jean-Jacques Rousseau's sensational epistolary novel portrays the passionate affair between a tutor and his aristocratic student. This landmark work of sensibility revolutionized literature with its emotional intensity and philosophical explorations of nature, society, and authentic living."," Jean-Jacques Rousseau's sensational epistolary novel portrays the passionate affair between a tutor and his aristocratic student. This landmark work of sensibility revolutionized literature with its emotional intensity and philosophical explorations of nature, society, and authentic living.",,"Switzerland, mid-18th century","Julie d'Étange,Saint-Preux",,digital
Julius Caesar,William Shakespeare,English,04/12/23,,," Shakespeare's political tragedy examines the moral complexities of conspiracy and revolution in ancient Rome. This timeless exploration of power, loyalty, and rhetoric dramatizes how idealistic intentions can lead to unforeseen and catastrophic consequences."," Shakespeare's political tragedy examines the moral complexities of conspiracy and revolution in ancient Rome. This timeless exploration of power, loyalty, and rhetoric dramatizes how idealistic intentions can lead to unforeseen and catastrophic consequences.",,"Ancient Rome, 44 BCE","Julius Caesar,Brutus",,digital
Just So Stories,Rudyard Kipling,English,04/12/23,,," Rudyard Kipling's beloved collection explains how various animals acquired their distinctive features through whimsical origin tales. These imaginative stories delight with their inventive language, gentle humor, and unforgettable phrases that mimic oral storytelling traditions."," Rudyard Kipling's beloved collection explains how various animals acquired their distinctive features through whimsical origin tales. These imaginative stories delight with their inventive language, gentle humor, and unforgettable phrases that mimic oral storytelling traditions.",,Various prehistoric and exotic settings,"Elephant's Child,Cat",,digital
Kidnapped,Robert Louis Stevenson,English,04/12/23,,, Robert Louis Stevenson's historical adventure novel follows a young orphan's perilous journey through the Scottish Highlands after being betrayed by his uncle. This thrilling tale of survival combines actual historical figures with breathtaking action and a powerful friendship between political opposites., Robert Louis Stevenson's historical adventure novel follows a young orphan's perilous journey through the Scottish Highlands after being betrayed by his uncle. This thrilling tale of survival combines actual historical figures with breathtaking action and a powerful friendship between political opposites.,,"Scottish Highlands, 1751","David Balfour,Alan Breck Stewart",,digital
Kim,Rudyard Kipling,English,04/12/23,,, Rudyard Kipling's masterpiece follows an orphaned Irish boy growing up on the streets of India who becomes involved in espionage while seeking his spiritual destiny. This vibrant adventure offers an unparalleled portrait of colonial India's complex cultural landscape and the boy who navigates it with remarkable adaptability., Rudyard Kipling's masterpiece follows an orphaned Irish boy growing up on the streets of India who becomes involved in espionage while seeking his spiritual destiny. This vibrant adventure offers an unparalleled portrait of colonial India's complex cultural landscape and the boy who navigates it with remarkable adaptability.,,"India during British Raj, late 19th century","Kim,Mahbub Ali",,digital
King Lear,William Shakespeare,English,04/12/23,,," Shakespeare's profound tragedy portrays an aging king who divides his kingdom between two flattering daughters while rejecting his truthful third. This devastating exploration of human cruelty, suffering, and redemption stands as perhaps the most powerful tragedy in the English language."," Shakespeare's profound tragedy portrays an aging king who divides his kingdom between two flattering daughters while rejecting his truthful third. This devastating exploration of human cruelty, suffering, and redemption stands as perhaps the most powerful tragedy in the English language.",,"Ancient Britain, pre-Roman era","King Lear,Cordelia",,digital
Knights,Aristophanes,Greek,04/12/23,,, Aristophanes' political comedy pits a sausage-seller against a corrupt politician for influence over the personified Athenian democracy. This raucous satire of demagogues and gullible voters remains startlingly relevant to modern political manipulation., Aristophanes' political comedy pits a sausage-seller against a corrupt politician for influence over the personified Athenian democracy. This raucous satire of demagogues and gullible voters remains startlingly relevant to modern political manipulation.,,"Ancient Athens, during the Peloponnesian War","The Sausage-Seller,Cleon",,digital
L'Argent,Émile Zola,French,04/12/23,,, Émile Zola's penultimate Rougon-Macquart novel exposes the destructive power of financial speculation in Second Empire Paris. This damning portrait of capitalism's moral vacuum follows a banker's fraudulent schemes that devastate both the wealthy and the working class., Émile Zola's penultimate Rougon-Macquart novel exposes the destructive power of financial speculation in Second Empire Paris. This damning portrait of capitalism's moral vacuum follows a banker's fraudulent schemes that devastate both the wealthy and the working class.,,"Paris, Second French Empire, 1860s-1870s","Aristide Saccard,Caroline Hamelin",,digital
L'Assommoir,Émile Zola,French,04/12/23,,, Émile Zola's brutal masterpiece follows a hardworking laundress's descent into alcoholism and destitution in working-class Paris. This unflinching naturalist tragedy portrays the devastating effects of poverty and addiction with documentary precision and profound compassion., Émile Zola's brutal masterpiece follows a hardworking laundress's descent into alcoholism and destitution in working-class Paris. This unflinching naturalist tragedy portrays the devastating effects of poverty and addiction with documentary precision and profound compassion.,,"Paris working-class neighborhood, 1850s-1870s","Gervaise Macquart,Coupeau",,digital
